GW RSSI,ED RSSI
-69,-72
-68,-71
-69,-73
-67,-74
-67,-72
-68,-73
-65,-72
-65,-72
-67,-73
-65,-74
-65,-74
-65,-72
-65,-73
-66,-74
-67,-73
-63,-72
-65,-72
-64,-73
-66,-71
-64,-71
-64,-73
-66,-74
-65,-73
-63,-73
-63,-74
-63,-73
-64,-71
-64,-72
-64,-72
-63,-72
-65,-74
-65,-72
-67,-75
-66,-75
-67,-73
-66,-74
-67,-73
-65,-72
-69,-73
-65,-72
-69,-73
-66,-74
-67,-75
-66,-71
-67,-73
-65,-71
-65,-72
-65,-72
-66,-73
-67,-73
-64,-72
-66,-72
-65,-71
-70,-72
-66,-73
-67,-72
-63,-75
-66,-74
-66,-73
-67,-74
-69,-72
-67,-77
-66,-73
-67,-72
-69,-76
-67,-74
-66,-72
-67,-77
-66,-73
-69,-74
-67,-74
-67,-74
-67,-73
-67,-71
-63,-72
-74,-74
-66,-70
-71,-76
-69,-73
-70,-76
-69,-75
-69,-74
-70,-80
-60,-75
-73,-79
-70,-72
-65,-70
-77,-68
-69,-84
-67,-87
-67,-73
-75,-74
-70,-81
-65,-73
-78,-78
-73,-80
-75,-78
-74,-77
-70,-76
-67,-72
-73,-76
-72,-76
-70,-74
-68,-81
-72,-81
-77,-81
-78,-79
-64,-75
-73,-63
-62,-67
-67,-65
-60,-65
-64,-68
-64,-67
-66,-66
-63,-66
-66,-65
-65,-66
-67,-65
-65,-66
-64,-66
-66,-66
-64,-65
-66,-65
-64,-63
-79,-67
-64,-67
-67,-67
-62,-66
-66,-67
-66,-67
-67,-65
-66,-71
-66,-70
-59,-67
-65,-84
-89,-71
-66,-68
-67,-66
-67,-68
-67,-64
-67,-68
-66,-67
-67,-68
-73,-78
-76,-79
-73,-79
-75,-77
-74,-87
-78,-85
-77,-85
-76,-79
-73,-78
-73,-79
-71,-77
-72,-75
-67,-75
-78,-76
-77,-72
-77,-76
-80,-81
-79,-82
-81,-82
-81,-80
-80,-79
-84,-84
-88,-72
-78,-81
-79,-87
-87,-78
-79,-82
-83,-79
-81,-80
-88,-80
-86,-80
-88,-78
-85,-83
-89,-79
-86,-80
-91,-81
-83,-79
-85,-78
-96,-76
-79,-78
-81,-87
-79,-82
-71,-75
-72,-77
-69,-76
-70,-76
-69,-79
-69,-76
-71,-80
-72,-78
-68,-76
