GW RSSI,ED RSSI
-94,-85
-93,-93
-97,-99
-93,-99
-97,-97
-96,-100
-103,-96
-85,-92
-96,-95
-88,-96
-95,-102
-101,-100
-108,-101
-95,-102
-98,-99
-101,-98
-94,-97
-100,-101
-101,-100
-99,-94
-94,-98
-97,-99
-94,-99
-89,-95
-93,-92
-85,-89
-79,-89
-88,-87
-84,-90
-84,-80
-77,-93
-78,-88
-84,-92
-90,-92
-90,-95
-83,-87
-101,-96
-92,-95
-95,-98
-87,-92
-95,-97
-84,-92
-85,-94
-76,-85
-73,-82
-73,-78
-73,-81
-73,-90
-88,-79
-73,-74
-65,-78
-67,-79
-72,-82
-75,-81
-79,-89
-90,-92
-96,-98
-91,-97
-91,-98
-88,-95
-91,-89
-94,-95
-97,-92
-94,-98
-97,-92
-90,-93
-99,-92
-79,-91
-93,-92
-89,-91
-84,-94
-93,-81
-83,-85
-87,-88
-90,-81
-77,-82
-73,-80
-82,-88
-85,-82
-81,-92
-73,-87
-67,-84
-78,-83
-79,-84
-75,-91
-70,-81
-75,-80
-73,-80
-82,-85
-88,-84
-79,-89
-83,-87
-75,-81
-72,-80
-76,-83
-85,-80
-83,-80
-79,-88
-77,-79
-79,-96
-79,-89
-73,-84
-80,-95
-90,-85
-82,-93
-89,-93
-87,-92
-75,-88
-78,-90
-82,-91
-82,-90
-85,-90
-101,-90
-88,-89
-88,-87
-80,-96
-89,-87
-95,-87
-83,-90
-93,-96
-88,-94
-95,-94
-91,-94
-100,-97
-94,-98
-91,-95
-96,-92
-105,-97
-88,-95
-93,-95
-93,-99
-94,-98
-87,-97
-103,-91
-90,-90
-91,-95
-110,-106
-101,-99
-94,-98
-91,-93
-90,-92
-101,-94
-99,-100
-95,-101
-97,-99
-111,-97
-96,-100
-97,-106
-104,-99
-105,-99
-102,-107
-103,-104
-115,-120
-106,-110
-110,-112
-117,-111
-109,-118
-119,-118
-120,-119
-108,-117
-120,-111
-113,-108
-108,-110
-113,-115
-110,-108
-111,-112
-111,-108
-105,-105
-103,-116
-105,-112
-113,-108
-115,-113
-110,-107
-115,-107
-102,-102
-106,-110
-103,-115
-102,-105
-114,-113
-111,-117
-111,-105
-113,-102
-108,-106
-113,-106
-111,-103
-106,-108
-106,-111
-100,-104
-104,-106
-115,-107
-113,-109
-113,-115
-118,-112
-117,-117
-112,-107
-113,-100
-108,-100
-105,-106
-112,-112
-119,-106
-117,-110
-117,-104
-112,-113
-115,-112
-116,-116
-115,-112
-114,-115
-118,-118
-111,-113
-119,-121
-111,-125
-116,-120
-113,-120
-121,-117
-123,-119
-119,-116
-117,-116
-117,-117
-114,-123
-120,-124
-120,-116
-119,-122
-121,-122
-120,-124
-117,-124
-117,-116
-118,-123
-121,-120
-120,-130
-120,-130
-120,-130
-118,-126
-120,-129
-119,-127
-118,-123
-118,-123
-121,-129
-120,-123
-118,-128
-119,-126
-113,-126
-119,-126
-120,-127
-112,-130
-120,-132
-120,-132
-120,-123
-120,-124
-120,-119
-119,-116
-119,-122
-112,-124
-118,-126
-119,-111
-119,-118
-120,-117
-118,-114
-121,-120
-113,-115
-121,-117
-109,-108
-121,-123
-119,-122
-120,-122
-120,-125
-123,-127
-121,-128
-121,-123
-121,-123
-115,-119
-114,-119
-109,-117
-113,-114
-113,-111
-121,-122
-114,-110
-119,-111
-114,-122
-117,-122
-119,-122
-120,-116
-120,-118
-121,-116
-119,-110
-123,-116
-120,-122
-119,-118
-117,-112
-117,-117
-115,-115
-120,-119
-118,-115
-112,-115
-104,-114
-123,-114
-114,-119
-121,-116
-119,-116
-113,-117
-121,-124
-117,-118
-114,-114
-121,-112
-113,-114
-115,-116
-117,-120
-120,-120
-118,-117
-121,-121
-114,-120
-120,-110
-115,-111
-120,-112
-111,-115
-117,-116
-113,-113
-125,-111
-120,-116
-119,-106
-108,-109
-121,-111
-113,-115
-117,-106
-109,-115
-107,-109
-103,-113
-114,-99
-108,-107
-121,-101
-106,-106
-118,-106
-109,-108
-108,-110
-107,-108
-119,-108
-112,-121
-113,-119
-120,-110
-118,-109
-107,-111
-121,-119
-116,-115
-120,-116
-118,-106
-114,-106
-112,-105
-114,-102
-101,-98
-119,-112
-110,-107
-123,-105
-109,-115
-121,-111
-117,-108
-117,-109
-108,-113
-118,-108
-119,-111
-121,-124
-108,-113
-120,-107
-111,-114
-114,-124
-115,-112
-110,-108
-113,-102
-107,-104
-101,-108
-113,-106
-104,-106
-115,-108
-109,-110
-117,-113
-114,-110
-119,-107
-103,-110
-119,-109
-113,-114
-120,-111
-115,-118
-108,-105
-113,-114
-120,-107
-117,-108
-121,-107
-111,-117
-121,-109
-113,-118
-119,-113
-120,-114
-121,-106
-109,-106
-113,-115
-109,-105
-111,-109
-114,-115
-113,-115
-121,-113
-123,-123
-119,-117
-121,-114
-117,-121
-114,-120
-121,-123
-119,-123
-120,-119
-118,-121
-118,-115
-120,-116
-119,-122
-120,-116
-121,-115
-113,-122
-123,-115
-121,-115
-117,-107
-115,-109
-109,-109
-118,-109
-107,-109
-119,-105
-115,-113
-121,-112
-114,-111
-117,-114
-111,-122
-120,-118
-117,-114
-117,-113
-108,-115
-123,-110
-115,-112
-106,-102
-117,-111
-121,-104
-106,-107
-106,-110
-108,-101
-103,-102
-103,-107
-111,-106
-105,-99
-107,-96
-96,-91
-107,-95
-99,-96
-99,-100
-98,-99
-119,-110
-113,-111
-121,-110
-117,-111
-121,-106
-120,-114
-119,-125
-119,-113
-112,-114
-115,-122
-113,-113
-117,-110
-117,-97
-97,-101
-99,-99
-102,-101
-103,-112
-100,-100
-100,-92
-95,-102
-119,-104
-100,-100
-109,-98
-99,-99
-119,-101
-105,-102
-108,-91
-95,-98
-115,-94
-101,-96
-103,-97
-90,-91
-101,-96
-90,-101
-97,-89
-87,-90
-103,-89
-95,-90
-99,-93
-96,-95
-103,-102
-87,-98
-88,-89
-95,-92
-103,-94
-91,-90
-102,-92
-93,-101
-119,-97
-93,-99
-94,-95
-99,-94
-113,-93
-99,-97
-97,-93
-96,-102
-83,-87
-90,-91
-85,-85
-81,-87
-78,-95
-94,-97
-85,-104
