GW RSSI,ED RSSI
-112,-102
-112,-106
-114,-118
-110,-112
-115,-113
-111,-114
-109,-113
-120,-120
-119,-119
-119,-127
-118,-124
-119,-124
-118,-127
-116,-116
-120,-114
-113,-102
-116,-114
-121,-109
-112,-111
-120,-114
-114,-117
-118,-117
-121,-122
-114,-121
-119,-115
-112,-114
-112,-105
-101,-108
-107,-102
-100,-104
-113,-100
-92,-101
-96,-87
-85,-104
-97,-101
-115,-101
-93,-80
-77,-88
-87,-88
-84,-91
-76,-88
-84,-89
-99,-98
-89,-99
-99,-98
-105,-100
-108,-101
-101,-97
-103,-99
-94,-98
-101,-105
-106,-101
-109,-101
-104,-98
-95,-95
-92,-95
-85,-100
-96,-98
-98,-98
-97,-85
-85,-90
-97,-96
-91,-89
-95,-99
-90,-97
-105,-107
-107,-108
-112,-113
-114,-118
-114,-123
-119,-125
-121,-125
-118,-124
-121,-126
-119,-126
-119,-130
-119,-125
-120,-130
-119,-130
-120,-130
-120,-127
-120,-130
-118,-130
-117,-130
-119,-130
-117,-125
-120,-125
-121,-119
-120,-119
-120,-119
-120,-127
-118,-129
-121,-130
-119,-125
-118,-130
-118,-130
-119,-130
-119,-130
-120,-130
-120,-130
-119,-130
-120,-130
-119,-130
-120,-130
-119,-120
-118,-132
-121,-121
-121,-121
-119,-130
-120,-130
-120,-130
-115,-123
-119,-123
-121,-121
-120,-118
-114,-123
-117,-118
-120,-117
-117,-114
-118,-124
-118,-120
-119,-122
-120,-122
-119,-130
-120,-127
-119,-124
-120,-112
-120,-112
-119,-119
-118,-108
-111,-115
-108,-113
-112,-110
-109,-106
-107,-117
-101,-97
-102,-104
-111,-109
-113,-104
-110,-107
-101,-107
-102,-106
-113,-104
-118,-114
-118,-114
-115,-111
-111,-120
-119,-116
-119,-117
-100,-117
-112,-110
-107,-107
-119,-117
-115,-106
-108,-109
-117,-114
-114,-126
-120,-119
-119,-120
-121,-130
-120,-125
-121,-128
-119,-128
-120,-128
-121,-130
-121,-126
-119,-128
-111,-128
-120,-125
-123,-128
-113,-128
-119,-128
-120,-128
-120,-128
-112,-128
-121,-128
-120,-129
-118,-129
-121,-133
-118,-132
-119,-122
-121,-128
-117,-126
-119,-126
-120,-126
-120,-126
-119,-121
-119,-127
-120,-127
-120,-129
-118,-127
-120,-127
-121,-127
-120,-127
-120,-127
-120,-127
-113,-127
-120,-127
-120,-127
-119,-127
-121,-127
-120,-127
-121,-128
-120,-128
-123,-129
-121,-129
-119,-129
-111,-124
-121,-124
-121,-130
-119,-128
-120,-128
-120,-128
-120,-128
-113,-128
-119,-127
-120,-127
-121,-127
-118,-124
-120,-121
-120,-127
-121,-123
-116,-124
-120,-120
-120,-116
-119,-124
-120,-116
-104,-115
-115,-120
-118,-119
-118,-119
-119,-122
-120,-119
-117,-122
-113,-124
-103,-116
-119,-111
-118,-114
-120,-124
-119,-126
-119,-125
-119,-125
-121,-121
-121,-123
-108,-124
-120,-126
-121,-126
-119,-115
-121,-119
-120,-121
-118,-122
-121,-119
-120,-119
-120,-122
-120,-122
-120,-125
-120,-121
-119,-123
-120,-122
-120,-118
-121,-124
-120,-121
-119,-122
-119,-125
-120,-122
-120,-121
-120,-121
-121,-122
-119,-117
-119,-127
-120,-126
-120,-126
-118,-131
-119,-131
-118,-131
-120,-128
-119,-128
-120,-128
-118,-129
-120,-129
-119,-124
-120,-121
-104,-118
-120,-125
-120,-123
-120,-123
-119,-128
-119,-128
-115,-128
-120,-129
-120,-128
-121,-128
-120,-126
-120,-128
-120,-117
-121,-119
-117,-120
-121,-131
-120,-131
-120,-131
-118,-129
-119,-132
-118,-128
-121,-129
-121,-129
-120,-127
-120,-130
-119,-129
-121,-129
-121,-129
-115,-124
-120,-123
-119,-123
-120,-121
-121,-121
-120,-128
-119,-118
-119,-122
-120,-120
-116,-122
-119,-120
-117,-126
-117,-123
-119,-118
-123,-120
-119,-118
-121,-121
-118,-116
-120,-125
-116,-131
-120,-124
-119,-119
-117,-119
-120,-109
-109,-110
-117,-117
-119,-107
-111,-117
-103,-115
-119,-118
-112,-109
-110,-117
-114,-112
-120,-111
-120,-113
-121,-118
-117,-124
-119,-111
-119,-120
-119,-115
-114,-116
-118,-116
-123,-112
-119,-114
-117,-116
-120,-117
-114,-109
-119,-122
-118,-122
-120,-125
-117,-127
-120,-127
-118,-124
-119,-120
-120,-122
-119,-120
-120,-120
-119,-120
-121,-116
-119,-121
-119,-118
-120,-118
-117,-116
-120,-121
-113,-123
-119,-123
-115,-123
-119,-123
-120,-123
-119,-123
-120,-123
-121,-123
-119,-123
-121,-123
-120,-123
-118,-123
-120,-123
-121,-130
-112,-130
-120,-126
-103,-117
-119,-114
-119,-121
-120,-110
-120,-111
-119,-116
-119,-108
-117,-112
-117,-111
-121,-120
-120,-112
-118,-100
-101,-101
-103,-115
-112,-111
-109,-112
-120,-120
-108,-109
-114,-119
-107,-106
-107,-107
-114,-108
-109,-116
-108,-115
-120,-122
-120,-112
-115,-111
-112,-121
-119,-126
-121,-130
-120,-130
-120,-130
-121,-122
-120,-118
-120,-123
-123,-111
-113,-115
-114,-105
-119,-102
-105,-109
-117,-109
-120,-116
-121,-118
-118,-125
-119,-125
-121,-125
-121,-123
-114,-126
-119,-130
-120,-130
-121,-124
-114,-119
-120,-122
-113,-119
-119,-116
-113,-113
-120,-116
-119,-118
-118,-124
-120,-130
-118,-130
-120,-125
-121,-122
-118,-117
-116,-111
-118,-114
-106,-110
-107,-102
-107,-109
-106,-98
-113,-120
-121,-125
-120,-115
-114,-115
-121,-115
-118,-123
-120,-121
-119,-121
-119,-121
-120,-130
-119,-130
-118,-130
-119,-130
-121,-130
-120,-128
-112,-125
-118,-124
-121,-123
-119,-126
-121,-125
-118,-125
-118,-125
-119,-126
-120,-126
-117,-108
-111,-115
-112,-111
-119,-108
-119,-118
-115,-111
-119,-111
-107,-118
-120,-118
-119,-129
-120,-129
-119,-129
-119,-129
-120,-129
